RA,DEC,Mag,Mag Err
80.70519786193717,-69.43753355085106,19.416364334972236,0.006262633729496935
80.69947280902996,-69.44357618680897,18.708534170910088,0.0045114083804914835
80.70076349113891,-69.44322911964474,18.963787339369823,0.005092203034236376
80.70480666335257,-69.44154063210084,19.108665874923563,0.005125374357902258
80.70685608541822,-69.44434739569297,18.45481545784598,0.004371809512384027
80.7213461835945,-69.44277393265013,19.02744616860421,0.005064548402736313
80.72825455016927,-69.4459183267922,18.91126897464612,0.00510007995848168
80.7313996806274,-69.44867713838086,17.897298974101577,0.0031405893954151083
80.72803699363548,-69.45133844442186,17.99083305552155,0.0034015910366744363
80.73746269558515,-69.44890937080868,18.617051129540272,0.0043309156723551545
80.74189341069834,-69.44834497289608,17.990071418249613,0.003403237327372632
