ra,dec,mag,magerr
80.68750867963841,-69.4452238039411,18.8987486196327,0.007059304642362358
80.70519397861517,-69.4375332503123,19.40439122349033,0.00574638924316691
80.69946910770342,-69.44357820826144,18.6802314131745,0.00437528787401566
80.70077115158013,-69.44323387512023,18.92399381590511,0.0049207578519711095
80.70479728727508,-69.44154223122871,19.128414182683684,0.0051126641612609935
80.69800265600595,-69.44754854341006,19.90112453402387,0.010390970769220255
80.70684753416974,-69.44434611293362,18.446060889979826,0.004176987448988163
80.72134563364378,-69.44277347750028,19.0083488916964,0.004891763992286455
80.72823615410552,-69.44592402457953,18.899885332378553,0.004626027400772227
80.73141574024828,-69.44867558736375,17.86882507199336,0.0031282595211084055
80.7280218749025,-69.45134171048805,17.957978159475005,0.003345182046217119
80.73747567689624,-69.4489089318969,18.579415509346774,0.004506085539988072
80.74188468821127,-69.44834673407533,17.952256398733777,0.0034110607098502845
